1. YEAR,2. TRIFD,3. FRS ID,4. FACILITY NAME,5. STREET ADDRESS,6. CITY,7. COUNTY,8. ST,9. ZIP,34. CHEMICAL
2021,07866PTTTP36PIN,1.10E+11,MODERN RECREATIONAL TECHNOLOGIES INC. (FORMERLY KOP-COAT MAR,36 PINE ST,ROCKAWAY,MORRIS,NJ,7866,"1,2,4-Trimethylbenzene"
2021,08829CSTML3WASH,1.10E+11,CUSTOM ALLOY CORP,3 WASHINGTON AVE,HIGH BRIDGE,HUNTERDON,NJ,8829,Copper
2021,07001PRDSL211RA,1.10E+11,PRIDE SOLVENTS & CHEMICAL CO OF NEW JERSEY,211 RANDOLPH AVE,AVENEL,MIDDLESEX,NJ,7001,Methanol
2021,08846MRSLN125FA,1.10E+11,VEOLIA ES TECHNICAL SOLUTIONS L.L.C.,125 FACTORY LN,MIDDLESEX,MIDDLESEX,NJ,8846,Zinc compounds
2021,07036CTGPT4801S,1.10E+11,CITGO PETROLEUM CORP,4801 S WOOD AVE,LINDEN,UNION,NJ,7036,Cumene
2021,08818MTXCR970NE,1.10E+11,METAL TEXTILES CORP,970 NEW DURHAM RD,EDISON,MIDDLESEX,NJ,8818,Copper
2021,08701FLXBR1969R,1.10E+11,FLEXABAR CORP,1969 RUTGERS UNIVERSITY BLVD,LAKEWOOD,OCEAN,NJ,8701,Xylene (mixed isomers)
2021,08066MBLLCBILLI,1.10E+11,PAULSBORO REFINING CO LLC,800 BILLINGSPORT RD,PAULSBORO,GLOUCESTER,NJ,8066,Benzene
2021,07036SFTYK1200S,1.10E+11,SAFETY-KLEEN SYSTEMS INC,1200 SYLVAN ST,LINDEN,UNION,NJ,7036,Acetonitrile
2021,08224VKNGYRTE9X,1.10E+11,VIKING YACHT CO INC,5738 RT 9,NEW GRETNA,BURLINGTON,NJ,8224,Styrene
2021,08066MBLLCBILLI,1.10E+11,PAULSBORO REFINING CO LLC,800 BILLINGSPORT RD,PAULSBORO,GLOUCESTER,NJ,8066,"1,2,4-Trimethylbenzene"
